internalTaxonId,scientificName,name,language,main
10030,Hexanchus griseus,Bluntnose Sixgill Shark,English,true
11200,Lamna nasus,Marracho,Portuguese,false
11200,Lamna nasus,Marrajo Sardinero,Spanish; Castilian,false
11200,Lamna nasus,Requin-taupe Commun,French,false
11200,Lamna nasus,Tiburón Sardinero,Spanish; Castilian,false
11200,Lamna nasus,Tintorera,Spanish; Castilian,false
11200,Lamna nasus,Атлантическая сельдевая акула,Russian,false
11200,Lamna nasus,Porbeagle,English,true
161318,Leucoraja lentiginosa,Freckle Skate,English,true
161331,Dactylobatus clarkii,Hook Skate,English,true
161373,Pseudobatos percellens,Southern Guitarfish,English,false
161373,Pseudobatos percellens,Fiddlerfish,South American Indian (Other),false
161373,Pseudobatos percellens,Guitarra,South American Indian (Other),false
161373,Pseudobatos percellens,Guitarra Chola,Spanish; Castilian,false
161373,Pseudobatos percellens,Poisson-guitare Chola,French,false
161373,Pseudobatos percellens,Puraque,South American Indian (Other),false
161373,Pseudobatos percellens,Viola,Portuguese,false
161373,Pseudobatos percellens,Chola Guitarfish,English,true
161378,Carcharhinus acronotus,Blacknose Shark,English,true
161403,Somniosus pacificus,ТИХООКЕАНСКАЯ ПОЛЯРНАЯ АКУЛА,Russian,false
161403,Somniosus pacificus,Pacific Sleeper Shark,English,true
161436,Myliobatis goodei,Aigle de Mer du Sud,French,false
161436,Myliobatis goodei,Chucho Amarillo,Spanish; Castilian,false
161436,Myliobatis goodei,Southern Eagle Ray,English,true
161443,Etmopterus pusillus,Sagre Nain,French,false
161443,Etmopterus pusillus,Tollo Lucero Liso,Spanish; Castilian,false
161443,Etmopterus pusillus,Smooth Lanternshark,English,true
161514,Dipturus oregoni,Hooktail Skate,English,true
161517,Etmopterus lucifer,Blackbelly Lanternshark,English,false
161517,Etmopterus lucifer,Blackbelly Lanternshark,English,true
161518,Mustelus norrisi,Narrowfin Smoothhound,English,true
161524,Carcharhinus isodon,Cação-dente-liso,Portuguese,false
161524,Carcharhinus isodon,Fijntandhaai,Dutch; Flemish,false
161524,Carcharhinus isodon,Galana Dientefino,Spanish; Castilian,false
161524,Carcharhinus isodon,Finetooth Shark,English,true
