assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495630,10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,"(Bonnaterre, 1788)",Near Threatened,A2bd,3.1,Decreasing,Global
500969,11200,Lamna nasus,ANIMALIA,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,LAMNIDAE,Lamna,nasus,,,,"(Bonnaterre, 1788)",Vulnerable,A2bd,3.1,Decreasing,Global
885767,161318,Leucoraja lentiginosa,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Leucoraja,lentiginosa,,,,"(Bigelow &amp; Schroeder, 1951)",Least Concern,,3.1,Stable,Global
886000,161331,Dactylobatus clarkii,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dactylobatus,clarkii,,,,"(Bigelow &amp; Schroeder, 1958)",Least Concern,,3.1,Stable,Global
887217,161373,Pseudobatos percellens,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Pseudobatos,percellens,,,,"(Walbaum, 1792)",Endangered,A2cd,3.1,Decreasing,Global
887542,161378,Carcharhinus acronotus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,acronotus,,,,"(Poey, 1860)",Endangered,A2bd,3.1,Decreasing,Global
887942,161403,Somniosus pacificus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SOMNIOSIDAE,Somniosus,pacificus,,,,"Bigelow &amp; Schroeder, 1944",Near Threatened,A2bd,3.1,Decreasing,Global
888243,161436,Myliobatis goodei,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MYLIOBATIDAE,Myliobatis,goodei,,,,"Garman, 1885",Vulnerable,A2d,3.1,Decreasing,Global
888910,161443,Etmopterus pusillus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,ETMOPTERIDAE,Etmopterus,pusillus,,,,"(Lowe, 1839)",Least Concern,,3.1,Stable,Global
889779,161514,Dipturus oregoni,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dipturus,oregoni,,,,"(Bigelow &amp; Schroeder, 1958)",Least Concern,,3.1,Decreasing,Global
889953,161517,Etmopterus lucifer,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,ETMOPTERIDAE,Etmopterus,lucifer,,,,"Jordan &amp; Snyder, 1902",Least Concern,,3.1,Unknown,Global
