internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
10030,Hexanchus griseus,"Notidanus  griseus (Bonnaterre, 1788)",Notidanus ,griseus,"(Bonnaterre, 1788)",,
10030,Hexanchus griseus,"Hexanchus  corinus Jordan & Gilbert, 1880",Hexanchus ,corinus,"Jordan & Gilbert, 1880",,
10030,Hexanchus griseus,"Squalus  vacca	 Bloch & Schneider, 1801",Squalus ,vacca	,"Bloch & Schneider, 1801	",,
10030,Hexanchus griseus,"Monopterinus  griseus (Bonnaterre, 1788)",Monopterinus ,griseus,"(Bonnaterre, 1788)",,
10030,Hexanchus griseus,"Notidanus  monge Risso, 1827",Notidanus ,monge,"Risso, 1827",,
10030,Hexanchus griseus,"Squalus griseus Bonnaterre, 1788",Squalus,griseus,"Bonnaterre, 1788",,
10030,Hexanchus griseus,"Notidanus  vulgaris Pérez Canto, 1886",Notidanus ,vulgaris,"Pérez Canto, 1886	",,
10030,Hexanchus griseus,"Hexanchus  griseus  ssp. australis	 de Buen, 1960",Hexanchus ,griseus ,,subspecies,"de Buen, 1960	"
11200,Lamna nasus,"Squalus nasus Bonnaterre, 1788",Squalus,nasus,"Bonnaterre, 1788",,
161318,Leucoraja lentiginosa,"Raja lentiginosa Bigelow & Schroeder, 1951",Raja,lentiginosa,"Bigelow & Schroeder, 1951",,
161331,Dactylobatus clarkii,"Raja clarkii Bigelow & Schroeder, 1958",Raja,clarkii,"Bigelow & Schroeder, 1958",,
161373,Pseudobatos percellens,"Rhinobatos percellens (Walbaum, 1792)",Rhinobatos,percellens,"(Walbaum, 1792)",,
161373,Pseudobatos percellens,"Raja percellens Walbaum, 1792",Raja,percellens,"Walbaum, 1792",,
161378,Carcharhinus acronotus,"Squalus acronotus Poey, 1860",Squalus,acronotus,"Poey, 1860",,
161443,Etmopterus pusillus,"Acanthidium pusillum Lowe, 1839",Acanthidium,pusillum,"Lowe, 1839",,
161443,Etmopterus pusillus,"Centrina  nigra	 Lowe, 1834",Centrina ,nigra	,"Lowe, 1834",,
161443,Etmopterus pusillus,"Etmopterus  frontimaculatus Pietschmann, 1907",Etmopterus ,frontimaculatus,"Pietschmann, 1907",,
161514,Dipturus oregoni,"Raja oregoni Bigelow & Schroeder, 1958",Raja,oregoni,"Bigelow & Schroeder, 1958",,
161524,Carcharhinus isodon,"Aprionodon  isodon (Müller & Henle, 1839)",Aprionodon ,isodon,"(Müller & Henle, 1839)",,
161524,Carcharhinus isodon,"Aprionodon  punctatus Gill, 1861",Aprionodon ,punctatus,"Gill, 1861",,
161524,Carcharhinus isodon,"Carcharias isodon Müller & Henle, 1839",Carcharias,isodon,"Müller & Henle, 1839",,
161564,Carcharhinus altimus,"Eulamia altima Springer, 1950",Eulamia,altima,"Springer, 1950",,
161564,Carcharhinus altimus,"Carcharhinus  radamae Fourmanoir, 1961",Carcharhinus ,radamae,"Fourmanoir, 1961",,
161610,Dipturus teevani,"Raja teevani Bigelow & Schroeder, 1951",Raja,teevani,"Bigelow & Schroeder, 1951",,
161681,Springeria folirostris,"Anacanthobatis folirostris (Bigelow &amp; Schroeder, 1951)",Anacanthobatis,folirostris,"(Bigelow &amp; Schroeder, 1951)",,
161702,Rajella purpuriventralis,"Raja purpuriventralis Bigelow & Schroeder, 1962",Raja,purpuriventralis,"Bigelow & Schroeder, 1962",,
161718,Dipturus olseni,"Raja olseni Bigelow & Schroeder, 1951",Raja,olseni,"Bigelow & Schroeder, 1951",,
161731,Pteroplatytrygon violacea,"Dasyatis violacea (Bonaparte, 1832)",Dasyatis,violacea,"(Bonaparte, 1832)",,
161731,Pteroplatytrygon violacea,"Trygon violacea Bonaparte, 1832",Trygon,violacea,"Bonaparte, 1832",,
161743,Pseudobatos lentiginosus,"Rhinobatos lentiginosus Garman, 1880",Rhinobatos,lentiginosus,"Garman, 1880",,
195488,Squalus suckleyi,Squalus acanthias (Northwest Pacific subpopulation),Squalus,acanthias,,,"Linnaeus, 1758"
195488,Squalus suckleyi,"Squalus acanthias ssp. suckleyi Girard, 1855",Squalus,acanthias,,subspecies,"Girard, 1855"
195488,Squalus suckleyi,Squalus acanthias (Northeast Atlantic subpopulation),Squalus,acanthias,,,"Linnaeus, 1758"
195488,Squalus suckleyi,"Spinax suckleyi Girard, 1855",Spinax,suckleyi,"Girard, 1855",,
3851,Carcharhinus limbatus,"Carcharias  muelleri Steindachner, 1867",Carcharias ,muelleri,"Steindachner, 1867",,
3851,Carcharhinus limbatus,"Carcharias limbatus Müller & Henle, 1839",Carcharias,limbatus,"Müller & Henle, 1839",,
3851,Carcharhinus limbatus,"Carcharias  microps	 Lowe, 1841",Carcharias ,microps	,"Lowe, 1841",,
3851,Carcharhinus limbatus,"Carcharias  pleurotaenia	 Bleeker, 1852",Carcharias ,pleurotaenia	,"Bleeker, 1852",,
3853,Carcharhinus plumbeus,"Carcharias  milberti Müller & Henle, 1839",Carcharias ,milberti,"Müller & Henle, 1839",,
3853,Carcharhinus plumbeus,"Lamna  caudata DeKay, 1842",Lamna ,caudata,"DeKay, 1842",,
3853,Carcharhinus plumbeus,"Carcharias japonicus Temminck & Schlegel, 1850",Carcharias,japonicus,"Temminck & Schlegel, 1850	",,
3853,Carcharhinus plumbeus,"Carcharias  obtusirostris	 Moreau, 1881",Carcharias ,obtusirostris	,"Moreau, 1881",,
3853,Carcharhinus plumbeus,"Carcharias  stevensi Ogilby, 1911",Carcharias ,stevensi,"Ogilby, 1911	",,
3853,Carcharhinus plumbeus,"Squalus plumbeus Nardo, 1827",Squalus,plumbeus,"Nardo, 1827",,
3854,Carcharias taurus,Carcharias griseus Ayres 1843,Carcharias,griseus,Ayres 1843,,
3854,Carcharias taurus,Squalus americanus Mitchill 1815,Squalus,americanus,Mitchill 1815,,
3854,Carcharias taurus,Carcharias owstoni Garman 1913,Carcharias,owstoni,Garman 1913,,
3854,Carcharias taurus,Carcharias tricuspidatus Day 1878,Carcharias,tricuspidatus,Day 1878,,
39324,Notorynchus cepedianus,"Squalus cepedianus Péron, 1807",Squalus,cepedianus,"Péron, 1807",,
